company_name,position_name,salary,city,work_years,education,advantage,desc,mark
卡荟科技,HTML5,10k-20k,深圳,1-3年,本科,"节日福利,电子设备,带薪年假,零食下午茶,员工旅游,五险一金",https://www.zhipin.com/job_detail/374bc8e1f9d35f6c1nJ82Nm8FFs~.html,3
天恒众航,HTML5,8k-12k,北京,1-3年,本科,,https://www.zhipin.com/job_detail/ac67954d19fcb92e03193tW5FA~~.html,3
武汉企秀,HTML5,10k-15k,武汉,1-3年,学历不限,"移动互联网,公司氛围好,五险一金",https://www.zhipin.com/job_detail/ea23ba038ad26f5b0nRy3tm0FA~~.html,3
闹心信息科技,HTML5,5k-10k,广州,1-3年,大专,"股票期权,节日福利,零食下午茶,五险一金",https://www.zhipin.com/job_detail/96d25369bb4871620nJ829q0Fw~~.html,3
微风尚,HTML5,6k-12k,郑州,3-5年,大专,"节日福利,员工旅游,零食下午茶,股票期权,全勤奖,五险一金",https://www.zhipin.com/job_detail/a3bea3978a7b3fbd1nJy39-6Fg~~.html,3
软微科技,HTML5,6k-10k,青岛,1-3年,大专,"节日福利,年终奖,社保,带薪年假,交通补助,提供住宿",https://www.zhipin.com/job_detail/259d39ec28667e131nF73dq0EFA~.html,3
上海小牛互娱,HTML5工程师,15k-25k,上海,3-5年,本科,"定期体检,五险一金",https://www.zhipin.com/job_detail/52a6039536eea1a11XF829m_FFc~.html,3
千知鱼,HTML5,2k-4k,深圳,1年以内,大专,"年终奖,五险一金,带薪年假,零食下午茶,加班补助",https://www.zhipin.com/job_detail/02dde479223181f91nB80ty9GFs~.html,3
千知鱼,HTML5,2k-4k,深圳,应届生,大专,"年终奖,五险一金,带薪年假,零食下午茶,加班补助",https://www.zhipin.com/job_detail/b8aaf140b43d7fec1Xx_0ty6GVI~.html,3
Yumstone,HTML5,15k-25k,上海,3-5年,本科,"年终奖,带薪年假,零食下午茶,股票期权,生日会,员工旅游,五险一金",https://www.zhipin.com/job_detail/a1e7154f9d48d1e31Xd939i9FlQ~.html,3
首度科技,HTML5,8k-10k,中山,1年以内,大专,"股票期权,五险一金",https://www.zhipin.com/job_detail/bc013ecb2b13c4031Hd-09y0EVI~.html,3
厦门鸿亦,HTML5,5k-8k,厦门,1-3年,大专,"移动互联网,公司氛围好,带薪年假,美女如云,电子商务",https://www.zhipin.com/job_detail/66cbf0627d3333cd1XB539i4FlI~.html,3
优尼得创软,HTML5,6k-10k,常州,3-5年,本科,"节日福利,年终奖,健身,五险一金,带薪年假,零食下午茶,交通补助,加班补助,住房补贴",https://www.zhipin.com/job_detail/f6921522f06e64ce1ndy2Nm8F1A~.html,3
五昊电子科技,HTML5,10k-11k,广州,1-3年,本科,,https://www.zhipin.com/job_detail/2cb63229690e32031nd-2tq_FlQ~.html,3
白鸽云,HTML5,11k-22k,苏州,1-3年,本科,,https://www.zhipin.com/job_detail/ae39e4b91925c6341XN72NS9F1Q~.html,3
医咖荟,HTML5,5k-8k,南京,经验不限,本科,"移动互联网,创业团队",https://www.zhipin.com/job_detail/e20b96a3ff16fca21nxz39i1GVY~.html,3
六米联盟,HTML5,6k-11k,成都,3-5年,硕士,,https://www.zhipin.com/job_detail/f07f374babd951fb1HV-3N26E1A~.html,3
六米联盟,HTML5,5k-10k,成都,经验不限,本科,,https://www.zhipin.com/job_detail/b57ba0f150ee76381HV-3N6-FFY~.html,3
福建思凯,H5前端,7k-12k,厦门,1-3年,大专,"节日福利,年终奖,带薪年假,员工旅游,五险一金,住房补贴",https://www.zhipin.com/job_detail/f23a2fca61e40e7c1HZ40t-1EVo~.html,3
唯思软件,HTML5,9k-18k,广州,经验不限,大专,,https://www.zhipin.com/job_detail/3693eb3e2efb48b31XB-0ti4GVE~.html,3
